Time,Stock
7/4/2022,6.03
7/11/2022,5.75
7/18/2022,5.8
7/25/2022,5.43
8/1/2022,5.85
8/8/2022,5.62
8/15/2022,4.93
8/22/2022,4.18
8/29/2022,4
9/5/2022,3.57
9/12/2022,3.57
9/19/2022,3.57
9/26/2022,3.57
10/3/2022,3.57
10/10/2022,3.57
10/17/2022,3.57
10/24/2022,3.57
10/31/2022,3.57
11/7/2022,3.57
11/14/2022,3.57
11/21/2022,3.57
11/28/2022,3.57
12/5/2022,3.57
12/12/2022,3.57
12/19/2022,3.57
12/26/2022,3.57
1/2/2023,3.57
1/9/2023,3.57
1/16/2023,3.57
1/23/2023,3.57
1/30/2023,3.57
2/6/2023,3.57
2/13/2023,3.57
2/20/2023,3.57
2/27/2023,3.5
3/6/2023,3.5
3/13/2023,3.5
3/20/2023,3.5
3/27/2023,3.5
4/3/2023,3.5
4/10/2023,3.5
4/17/2023,3.5
4/24/2023,3.5
5/1/2023,3.5
5/8/2023,3.5
5/15/2023,3.5
5/22/2023,3.5
5/29/2023,3.5
6/5/2023,3.5
6/12/2023,3.5
6/19/2023,3.5
6/26/2023,3.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
