"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/30/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/27/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/26/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/24/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/23/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/20/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/19/2019","0.023","0.043","0.043","0.023","0.34K","0.00%"
"12/18/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/17/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/12/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/11/2019","0.023","0.023","0.023","0.023","","-4.17%"
"12/10/2019","0.024","0.023","0.024","0.023","3.92K","4.35%"
"12/06/2019","0.023","0.023","0.023","0.023","","0.00%"
"12/04/2019","0.023","0.023","0.023","0.023","","-4.17%"
"11/27/2019","0.024","0.023","0.024","0.023","0.37K","4.35%"
"11/25/2019","0.023","0.023","0.023","0.023","","4.55%"
"11/21/2019","0.022","0.022","0.022","0.022","","-8.33%"
"11/19/2019","0.024","0.024","0.024","0.024","","4.35%"
"11/18/2019","0.023","0.023","0.023","0.023","","0.00%"
"11/15/2019","0.023","0.023","0.023","0.023","","0.00%"
"11/13/2019","0.023","0.023","0.023","0.023","","0.00%"
"11/12/2019","0.023","0.023","0.023","0.023","","-8.00%"
"11/08/2019","0.025","0.025","0.025","0.025","","8.70%"
"10/31/2019","0.023","0.023","0.023","0.023","","0.00%"
"10/29/2019","0.023","0.023","0.023","0.023","","-4.17%"
"10/28/2019","0.024","0.024","0.024","0.024","","-11.11%"
"10/25/2019","0.027","0.027","0.027","0.027","","3.85%"
"10/24/2019","0.026","0.026","0.026","0.026","","0.00%"
"10/22/2019","0.026","0.026","0.026","0.026","","-56.67%"
"10/21/2019","0.060","0.060","0.060","0.060","","160.87%"
"10/17/2019","0.023","0.023","0.023","0.023","","-11.54%"
"10/16/2019","0.026","0.023","0.026","0.023","0.26K","13.04%"
"10/15/2019","0.023","0.023","0.023","0.023","","-54.90%"
"10/11/2019","0.051","0.037","0.051","0.037","15.60K","121.74%"
"10/10/2019","0.023","0.023","0.023","0.023","","0.00%"
"10/09/2019","0.023","0.023","0.023","0.023","","0.00%"
"10/08/2019","0.023","0.023","0.023","0.023","","0.00%"
"10/03/2019","0.023","0.023","0.023","0.023","","-54.00%"
"09/27/2019","0.050","0.050","0.050","0.050","","92.31%"
"09/24/2019","0.026","0.026","0.026","0.026","","-29.73%"
"09/23/2019","0.037","0.037","0.037","0.037","","60.87%"
"09/16/2019","0.023","0.023","0.023","0.023","","-37.84%"
"09/04/2019","0.037","0.037","0.037","0.037","","68.18%"
"08/28/2019","0.022","0.037","0.037","0.022","4.29K","-15.38%"
"08/22/2019","0.026","0.026","0.026","0.026","","0.00%"
"08/20/2019","0.026","0.026","0.026","0.026","","-33.33%"
"08/01/2019","0.039","0.038","0.039","0.038","0.51K","-77.06%"
"07/31/2019","0.170","0.170","0.170","0.170","","507.14%"
"07/29/2019","0.028","0.028","0.028","0.028","","-83.53%"
"07/24/2019","0.170","0.170","0.170","0.170","","466.67%"
"07/17/2019","0.030","0.030","0.030","0.030","","-70.00%"
"07/15/2019","0.100","0.100","0.100","0.100","","0.00%"
"07/12/2019","0.100","0.100","0.100","0.100","","233.33%"
"07/11/2019","0.030","0.030","0.030","0.030","","3.45%"
"07/10/2019","0.029","0.029","0.029","0.029","","16.00%"
"07/09/2019","0.025","0.025","0.025","0.025","","-75.00%"
"07/03/2019","0.100","0.100","0.100","0.100","","-42.86%"
"07/01/2019","0.175","0.025","0.180","0.025","19.87K","-2.78%"
"06/28/2019","0.180","0.180","0.180","0.180","","2.86%"
"06/27/2019","0.175","0.015","0.175","0.015","11.13K","-2.78%"
"06/26/2019","0.180","0.180","0.180","0.180","","-5.26%"
"06/25/2019","0.190","0.015","0.190","0.015","1.13K","-2.56%"
"06/21/2019","0.195","0.195","0.195","0.195","","-2.50%"
"06/20/2019","0.200","0.195","0.200","0.025","34.20K","700.00%"
"06/19/2019","0.025","0.025","0.025","0.025","","0.00%"
"06/18/2019","0.025","0.025","0.025","0.025","","0.00%"
"06/17/2019","0.025","0.025","0.025","0.025","","0.00%"
"06/12/2019","0.025","0.025","0.025","0.025","","0.00%"
"06/11/2019","0.025","0.025","0.025","0.025","","0.00%"
"06/10/2019","0.025","0.200","0.200","0.025","1.06K","-86.11%"
"06/07/2019","0.180","0.200","0.200","0.180","1.34K","12.50%"
"06/06/2019","0.160","0.012","0.160","0.012","27.21K","1,233.33%"
"06/04/2019","0.012","0.012","0.012","0.012","","0.00%"
"06/03/2019","0.012","0.012","0.012","0.012","","0.00%"
"05/29/2019","0.012","0.012","0.012","0.012","","0.00%"
"05/28/2019","0.012","0.012","0.012","0.012","","-94.00%"
"05/23/2019","0.200","0.100","0.200","0.100","4.13K","900.00%"
"05/22/2019","0.020","0.020","0.020","0.020","","0.00%"
"05/20/2019","0.020","0.020","0.020","0.020","","-33.33%"
"05/17/2019","0.030","0.030","0.030","0.030","","-6.25%"
"05/13/2019","0.032","0.031","0.032","0.030","0.97K","-37.25%"
"05/08/2019","0.051","0.066","0.066","0.051","0.30K","-21.54%"
"05/03/2019","0.065","0.030","0.065","0.030","1.05K","116.67%"
"05/02/2019","0.030","0.030","0.030","0.030","","-9.09%"
"05/01/2019","0.033","0.030","0.033","0.030","0.56K","10.00%"
"04/30/2019","0.030","0.030","0.030","0.030","","0.00%"
"04/24/2019","0.030","0.035","0.045","0.030","10.55K","-28.57%"
"04/18/2019","0.042","0.040","0.042","0.022","17.91K","90.91%"
"04/17/2019","0.022","0.016","0.032","0.016","5.04K","266.67%"
"04/16/2019","0.006","0.006","0.006","0.006","","0.00%"
"04/15/2019","0.006","0.024","0.024","0.006","2.19K","20.00%"
"04/12/2019","0.005","0.005","0.005","0.005","","-79.17%"
"04/11/2019","0.024","0.024","0.024","0.024","","71.43%"
"04/10/2019","0.014","0.014","0.014","0.014","","-50.00%"
"04/09/2019","0.028","0.028","0.028","0.028","","-37.78%"
"04/04/2019","0.045","0.045","0.045","0.045","","0.00%"
"04/03/2019","0.045","0.033","0.045","0.033","7.08K","114.29%"
"04/01/2019","0.021","0.033","0.033","0.021","0.34K","-27.59%"
"03/29/2019","0.029","0.045","0.045","0.029","0.69K","107.14%"
"03/28/2019","0.014","0.014","0.014","0.014","","-72.00%"
"03/26/2019","0.050","0.027","0.050","0.004","2.67K","0.00%"
"03/25/2019","0.050","0.050","0.050","0.050","","0.00%"
"03/22/2019","0.050","0.050","0.050","0.050","","85.19%"
"03/21/2019","0.027","0.050","0.050","0.027","20.28K","285.71%"
"03/20/2019","0.007","0.050","0.050","0.007","3.43K","0.00%"
"03/19/2019","0.007","0.040","0.040","0.007","2.04K","-86.00%"
"03/18/2019","0.050","0.010","0.050","0.010","29.81K","1,566.67%"
"03/15/2019","0.003","0.010","0.010","0.003","1.10K","-70.00%"
"03/13/2019","0.010","0.020","0.022","0.010","33.24K","-50.00%"
"03/11/2019","0.020","0.020","0.020","0.020","","100.00%"
"03/08/2019","0.010","0.010","0.010","0.010","","0.00%"
"03/07/2019","0.010","0.010","0.010","0.010","","0.00%"
"03/05/2019","0.010","0.010","0.010","0.010","","-50.00%"
"03/04/2019","0.020","0.005","0.055","0.005","51.41K","300.00%"
"03/01/2019","0.005","0.010","0.010","0.005","10.10K","-75.00%"
