iter	Passed	Remaining
0	71	143768
1	79	79882
2	87	58140
3	92	46360
4	99	39704
5	105	34930
6	110	31368
7	116	28982
8	122	27039
9	127	25419
10	133	24100
11	139	23081
12	144	22096
13	149	21248
14	155	20607
15	161	20036
16	167	19542
17	173	19059
18	179	18685
19	185	18359
20	191	18005
21	197	17729
22	203	17485
23	209	17214
24	215	17004
25	220	16734
26	225	16513
27	231	16323
28	237	16119
29	243	15962
30	248	15779
31	253	15603
32	259	15447
33	265	15353
34	271	15243
35	278	15212
36	289	15376
37	296	15298
38	301	15148
39	306	15032
40	314	15034
41	320	14961
42	327	14884
43	332	14796
44	338	14705
45	344	14623
46	349	14532
47	354	14435
48	360	14369
49	366	14296
50	372	14218
51	377	14136
52	383	14077
53	388	14011
54	394	13943
55	399	13862
56	404	13794
57	409	13721
58	415	13659
59	420	13590
60	425	13526
61	430	13465
62	435	13391
63	440	13337
64	446	13280
65	451	13228
66	456	13169
67	461	13121
68	467	13076
69	473	13057
70	479	13034
71	488	13076
72	493	13037
73	499	13002
74	505	12967
75	512	12969
76	518	12946
77	524	12919
78	529	12878
79	534	12835
80	539	12787
81	545	12748
82	550	12709
83	555	12673
84	561	12651
85	566	12616
86	571	12567
87	576	12535
88	581	12494
89	587	12457
90	592	12430
91	597	12392
92	602	12359
93	607	12322
94	612	12284
95	617	12255
96	623	12225
97	628	12197
98	633	12168
99	638	12140
100	644	12113
101	649	12079
102	653	12044
103	658	12008
104	664	11991
105	671	11998
106	678	11994
107	687	12041
108	694	12046
109	699	12019
110	705	11999
111	711	11986
112	716	11971
113	722	11950
114	727	11927
115	733	11910
116	738	11888
117	744	11870
118	749	11848
119	756	11854
120	762	11834
121	767	11813
122	772	11785
123	777	11764
124	782	11730
125	787	11705
126	792	11681
127	797	11657
128	802	11633
129	807	11615
130	812	11593
131	817	11569
132	821	11536
133	826	11506
134	831	11481
135	835	11453
136	840	11427
137	844	11401
138	849	11375
139	854	11351
140	858	11323
141	865	11319
142	871	11315
143	878	11318
144	884	11320
145	890	11313
146	896	11295
147	900	11270
148	906	11261
149	912	11251
150	917	11240
151	923	11225
152	928	11209
153	933	11191
154	938	11176
